word_en,word_fr,concept_id
a la mode,à la mode,a00971506
abalone,abalone,n01942869
abatis,abatis,n02666735
abattoir,abattoir,n02666943
abduction,abduction,n00333037
abduction,abduction,n00775460
ablative case,ablatif,n06312418
absinthe,absinthe,n07908411
absinthe,absinthe,n11929477
abstention,abstention,n04882622
abusive,abusif,a01160584
abusive,abusif,a01628531
academic,académique,a00862718
academic,académique,a02083908
academic,académique,a02599939
academy,académie,n02669885
academy,académie,n08277805
academy,académie,n08279298
academy,académie,n08280124
accolade,accolade,n06696483
accomplishment,accomplissement,n00035189
accomplishment,accomplissement,n05637558
accoucheur,accoucheur,n10369699
accoucheuse,accoucheuse,n10314836
accoutre,accoutrer,v02342016
acephalous,acéphale,a01184448
acetic,acétique,a03039907
acetylene,acétylène,n14600742
acid,acide,n02675657
acid,acide,n14607521
acidification,acidification,n13426238
acidity,acidité,n04993882
acidity,acidité,n05039526
acidity,acidité,n05716961
aconite,aconit,n11722982
acoustic,acoustique,a02868489
acoustic,acoustique,n02675987
acoustics,acoustique,n06094774
acre,acre,n13613742
acrobat,acrobate,n09764381
acromegaly,acromégalie,n14368483
acrostic,acrostiche,n06366130
acrostic,acrostiche,n06786209
actinium,actinium,n14627655
adage,adage,n07153838
adaptation,adaptation,n00193406
adaptation,adaptation,n06408779
adaptation,adaptation,n13427078
adhesion,adhésion,n01212882
adhesion,adhésion,n04935528
adhesive,adhésif,n14702416
admiralty,amirauté,n00588703
admiralty,amirauté,n08349548
admiration,admiration,n01218593
admiration,admiration,n07500741
admiration,admiration,n07509996
admire,admirer,v01827858
admire,admirer,v02164694
adolescent,adolescent,a01490061
adolescent,adolescent,a01492596
adolescent,adolescent,a01647983
adolescent,adolescent,a02602261
adolescent,adolescent,n09772029
adoption,adoption,n00084371
adoption,adoption,n00180413
adoption,adoption,n01185292
adrenaline,adrénaline,n05408388
adroit,adroit,a00061262
adsorb,adsorber,v01540232
adulation,adulation,n06695753
adult,adulte,a01488616
adult,adulte,n01321456
adult,adulte,n09605289
adverb,adverbe,n06319157
adverb,adverbe,n06323612
aerobic,aérobie,a00068566
aerobic,aérobie,a00069217
aerodynamics,aérodynamique,n06114351
aeronaut,aéronaute,n09826204
aeronautics,aéronautique,n06096913
aeroplane,aéroplane,n02691156
aesthetic,esthétique,a00069531
aesthetic,esthétique,a02393086
aesthetic,esthétique,a02991287
aesthetic,esthétique,n05968971
affable,affable,a01075178
affection,affection,n07544647
affiliation,affiliation,n01082061
affiliation,affiliation,n13930385
agent provocateur,agent provocateur,n09778392
aggrandize,agrandir,v00956405
agile,agile,a00032733
agile,agile,a01334833
agiotage,agiotage,n13324297
agitation,agitation,n07513508
agitation,agitation,n13979503
agnostic,agnostique,a01305929
agnostic,agnostique,n09779124
agonize,agoniser,v01794363
agonize,agoniser,v01794523
agronomy,agronomie,n06065819
aid,aide,n00654885
aid,aide,n01207609
aid,aide,n05154908
aid,aide,n13265904
aigrette,aigrette,n02685082
aileron,aileron,n02685253
aioli,aïoli,n07834774
albatross,albatros,n02058221
albatross,albatros,n05689645
albumin,albumine,n14731509
alcove,alcôve,n02696048
ale,ale,n07889510
alembic,alambic,n02696246
alert,alerte,n06803157
alert,alerte,n07224774
algorithm,algorithme,n05847438
alienist,aliéniste,n09783653
aliment,aliment,n07570720
aliquot,aliquote,a00516887
aliquot,aliquote,n13734629
alizarin,alizarine,n14986277
alkali,alcali,n14618253
alkali,alcali,n14712036
allemande,allemande,n07840124
alligator,alligator,n01698434
alligator,alligator,n14760447
alligator,alligator,v00337700
alpine,alpin,a01219373
alpine,alpin,a03025590
alpine,alpin,a03025746
altercation,altercation,n07184545
altruism,altruisme,n04833276
amaranth,amarante,n11823043
amaranth,amarante,n11823305
amateur,amateur,a01869634
amateur,amateur,a01870636
amateur,amateur,n09786585
amateur,amateur,n09786760
ambiance,ambiance,n14524849
ambulance,ambulance,n02701002
ambuscade,embuscade,n01246926
ambuscade,embuscade,v01138204
amelioration,amélioration,n00261029
amendment,amendement,n01250101
amendment,amendement,n06723635
amenity,aménité,n04779053
ammonite,ammonite,n09195958
amniotic,amniotique,a02618108
amour propre,amour-propre,n07508996
amphibology,amphibologie,n06604743
ampoule,ampoule,n03923379
anaerobic,anaérobie,a00069060
anaerobic,anaérobie,a00069427
analyst,analyste,n09790278
analyst,analyste,n09790482
analyst,analyste,n09791530
analyze,analyser,v00643197
analyze,analyser,v00643473
analyze,analyser,v00644583
analyze,analyser,v00736216
ananas,ananas,n07753275
ananas,ananas,n12607198
anarchist,anarchiste,n09791816
anatomy,anatomie,n00646187
anatomy,anatomie,n05217168
anatomy,anatomie,n06057539
androgyne,androgyne,n10172080
anecdote,anecdote,n07220586
anhedonia,anhédonie,n14026285
animality,animalité,n04623443
anime,animé,n14766265
anime,animé,n14896018
animosity,animosité,n07548100
anisette,anisette,n07908647
anjou,anjou,n07768139
annalist,annaliste,n09794797
annex,annexe,n08493825
annular,annulaire,a02044860
anode,anode,n02714315
anode,anode,n02714535
anomie,anomie,n04851865
anomie,anomie,n14415898
anther,anthère,n11675245
antibiotic,antibiotique,a02629301
antibiotic,antibiotique,n02716866
antigen,antigène,n15037339
antique,antique,a00974159
antique,antique,a01638962
antique,antique,a01639446
antique,antique,n02723754
antique,antique,n10376890
antique,antique,v00253501
antique,antique,v02326795
apache,apache,n06919433
apache,apache,n09607208
apache,apache,n09649926
apanage,apanage,n13254443
apanage,apanage,n13298287
apathy,apathie,n04636610
apathy,apathie,n07483622
aphasia,aphasie,n14097574
apogee,apogée,n08495420
apogee,apogée,n15291199
apologue,apologue,n06372095
apology,apologie,n05821102
apology,apologie,n06740919
apoplectic,apoplectique,a02634569
apostrophe,apostrophe,n06841987
apostrophe,apostrophe,n07101937
appanage,apanage,n13254443
appanage,apanage,n13298287
apparent,apparent,a01618376
apparent,apparent,a01873985
apparition,apparition,n00050484
apparition,apparition,n07323436
appearance,apparence,n04673965
appearance,apparence,n05939432
appearance,apparence,n07321772
apperception,aperception,n05708658
appose,apposer,v01500214
appreciable,appréciable,a00624416
arabesque,arabesque,n02732572
arabesque,arabesque,n05081802
arachnid,arachnide,n01769347
arbitrage,arbitrage,n01093965
arbitrager,arbitragiste,n09803800
arbitrageur,arbitragiste,n09803800
arbitral,arbitral,a02637730
arc-boutant,arc-boutant,n03373943
archduchy,archiduché,n08556950
archimandrite,archimandrite,n09754404
architect,architecte,n09805475
architecture,architecture,n00610738
architecture,architecture,n02734725
architecture,architecture,n04932278
architecture,architecture,n06123363
archive,archives,n02735086
are,are,n13613862
argot,argot,n07157273
argumentation,argumentation,n05773049
argumentation,argumentation,n07140978
aridity,aridité,n14537250
aristocrat,aristocrate,n09807754
aristocratic,aristocratique,a01590484
armagnac,armagnac,n07903731
armet,armet,n02738741
armistice,armistice,n13970912
armoire,armoire,n02739550
arrangement,arrangement,n00939628
arrangement,arrangement,n05075602
arrangement,arrangement,n07038400
arrangement,arrangement,n07938773
art deco,art déco,n08465118
art nouveau,art nouveau,n08465312
artifice,artifice,n00172598
artisan,artisan,n09974648
artist,artiste,n09812338
artiste,artiste,n09813126
artistic,artistique,a00069948
artistic,artistique,a02393086
artistic,artistique,a02991122
aspic,aspic,n07808675
assist,assister,v02414710
assist,assister,v02540670
assist,assister,v02547586
assistant,assistant,a00793250
assistant,assistant,n09815790
association,association,n01081628
association,association,n05763916
association,association,n07990377
association,association,n08049401
association,association,n13435152
association,association,n13782769
association,association,n13930385
association,association,n14421139
assonance,assonance,n07097346
asteroid,astéroïde,a02048344
asteroid,astéroïde,n09208702
atavism,atavisme,n07343574
atelier,atelier,n02746841
atheist,athéiste,n09820044
athletic,athlétique,a00032497
athletic,athlétique,a00828661
athletic,athlétique,a02907656
atrophy,atrophie,n07427060
atrophy,atrophie,n14365741
atrophy,atrophie,v00093979
attack,attaque,n00236953
attack,attaque,n00457723
attack,attaque,n00773814
attack,attaque,n00941140
attack,attaque,n00972621
attack,attaque,n01220619
attack,attaque,n06711159
attack,attaque,n13435548
attack,attaque,v00019792
attack,attaque,v00347610
attack,attaque,v01120069
au pair,au pair,n09823683
au revoir,au revoir,n06629610
auberge,auberge,n03541696
aubergine,aubergine,n07713074
aubergine,aubergine,n12896000
audience,audience,n07143624
audience,audience,n08221897
audience,audience,n08222293
audience,audience,n14484778
autoclave,autoclave,n02758960
autoclave,autoclave,v00062973
autocrat,autocrate,n10735298
automatic,automatique,a00181476
automatic,automatique,a01499999
automatic,automatique,a02522669
automatic,automatique,n02760658
automatic,automatique,n02760855
automatize,automatiser,v00479932
automatize,automatiser,v00480221
automobile,automobile,n02958343
automobile,automobile,v01930738
avalanche,avalanche,n07285036
avalanche,avalanche,n07405137
avalanche,avalanche,v01966706
avant-garde,avant-garde,n08465558
aventurine,aventurine,n15064560
avenue,avenue,n00941604
avenue,avenue,n02763472
aviation,aviation,n00300441
aviation,aviation,n05635188
aviation,aviation,n08067218
aviation,aviation,n08433727
aviator,aviateur,n09826204
avocet,avocette,n02036711
aye-aye,aye-aye,n02498153
azote,azote,n14647623
baba au rhum,baba au rhum,n07629898
babiroussa,babiroussa,n02396796
baby boom,babyboom,n08371838
baby-sitter,baby-sitter,n09829305
baccalaureate,baccalauréat,n06698252
backgammon,backgammon,n00502822
bacteriophage,bactériophage,n01334862
badinage,badinage,n06777961
badminton,badminton,n00480508
bagasse,bagasse,n14772317
bagel,bagel,n07693725
baguette,baguette,n07687381
bain-marie,bain-marie,n02776007
ball,bal,n00107400
ball,bal,n02778669
ball,bal,n03802228
ball,bal,n07448885
ball,bal,n08253268
ball,bal,n13899404
ball,bal,v01523270
ballad,ballade,n06378298
ballad,ballade,n07049713
ballade,ballade,n06378427
ballet,ballet,n00528667
ballet,ballet,n07054336
balletomane,balletomane,n09835153
ballottement,ballottement,n00144182
baluster,balustre,n02783994
balustrade,balustrade,n02788148
banal,banal,a01688757
banality,banalité,n07154046
bandage,bandage,n02785648
bandage,bandage,v00083124
banker,banquier,n09837720
banker,banquier,n09837824
banneret,banneret,n10238898
barbecue,barbecue,n02790669
barbecue,barbecue,n07576781
barbecue,barbecue,n07654148
barbecue,barbecue,v00324806
barcarole,barcarolle,n07049931
barcarolle,barcarolle,n07049931
bard,barde,n02792305
bard,barde,n09839022
bard,barde,v01670315
barmaid,barmaid,n09839702
barman,barman,n09841188
baron,baron,n09840217
baroque,baroque,a02974023
baroque,baroque,n15259076
barrage,barrage,n07083441
barricade,barricade,n02796412
barricade,barricade,n04096848
barricade,barricade,v01127075
barricade,barricade,v01127215
baseball,baseball,n00471613
baseball,baseball,n02799071
basilar,basilaire,a02659733
